NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius flag type redshift med_flux
13 351.34 33.71 0.08 48.73 4.15 1 0 0.234 0.021192390471696854
24 1895.17 48.77 0.22 -70.87 5.94 1 0 0.221 0.04878013953566551
33 1005.6 58.84 0.28 15.66 1.87 1 0 0.233 0.005213028751313686
38 1248.84 70.17 0.58 21.12 1.95 1 0 0.230 0.0017722846241667867
65 1742.58 119.59 0.32 -51.69 4.41 1 0 0.229 0.01961141638457775
83 868.0 153.37 0.39 76.07 3.34 1 0 0.228 0.0039884550496935844
85 1326.62 151.16 0.53 -53.13 1.6 1 0 0.250 0.004018770530819893
98 1387.69 184.42 0.22 7.29 2.11 2 0 0.238 0.009183024056255817
100 199.18 188.41 0.58 -81.15 2.03 2 0 0.230 -0.0016234238864853978
102 1791.9 195.56 0.64 -36.93 2.46 2 0 0.230 0.012860113754868507
120 178.55 225.79 0.34 -41.56 1.87 1 0 0.238 0.018920324742794037
122 1491.58 227.07 0.5 27.2 3.7 1 0 0.222 0.008740412071347237
144 1872.15 262.29 0.25 30.98 1.95 1 0 0.220 0.003920567221939564
147 339.87 271.85 0.21 42.93 6.31 1 0 0.231 0.07471011579036713
156 2000.14 279.31 0.29 43.74 2.59 1 0 0.224 0.007944399490952492
170 190.85 298.92 0.21 -44.5 1.6 2 0 0.236 0.010692316107451916
179 1142.7 312.07 0.15 79.04 2.82 1 0 0.232 0.009206509217619896
181 1457.45 321.69 0.22 -33.64 3.66 1 0 0.223 0.018156100064516068
198 1826.03 344.8 0.3 19.38 5.41 1 0 0.221 0.03191239386796951
214 1939.0 365.12 0.28 -81.44 4.65 1 0 0.224 0.027195751667022705
226 1509.51 378.37 0.36 -78.77 4.98 1 0 0.230 0.02944335527718067
254 156.42 418.6 0.16 21.25 2.19 2 0 0.237 0.008858224377036095
257 1275.25 429.59 0.08 76.84 3.78 1 0 0.225 0.04226524382829666
262 1781.16 437.56 0.52 -83.21 2.26 1 0 0.242 0.002613340737298131
270 1309.14 448.8 0.21 78.7 1.6 1 0 0.244 0.006599897984415293
276 54.0 460.44 0.36 33.79 3.61 1 0 0.247 0.031222766265273094
283 1767.85 473.93 0.15 -28.85 5.14 1 0 0.217 0.061636410653591156
302 726.11 487.3 0.25 40.67 2.82 1 0 0.217 0.017771946266293526
311 1589.37 504.88 0.43 -84.96 4.3 1 0 0.220 0.02431296370923519
316 942.88 504.89 0.29 -7.15 3.14 1 0 0.222 0.012486465275287628
324 482.35 516.48 0.06 -19.6 2.71 1 0 0.224 0.017647188156843185
332 1997.53 524.59 0.19 -57.13 3.19 1 0 0.235 0.0009608190157450736
342 764.84 534.68 0.17 -10.93 2.52 1 0 0.226 0.010837605223059654
355 1085.39 555.63 0.14 -3.31 2.26 1 0 0.217 0.010017246007919312
395 1888.3 597.91 0.04 38.31 3.74 2 0 0.247 0.006915347650647163
465 1475.07 715.99 0.11 -40.66 3.61 2 0 0.241 0.044593434780836105
543 629.25 832.87 0.23 43.5 4.51 1 0 0.229 0.02885621227324009
546 617.7 845.72 0.08 89.5 4.22 1 0 0.235 0.010877104476094246
562 1584.06 878.91 0.57 10.81 4.41 1 0 0.229 0.015456406399607658
569 373.65 904.51 0.32 81.32 6.98 1 0 0.225 0.050816234201192856
587 1660.78 924.43 0.21 65.45 2.39 1 0 0.229 0.012449338100850582
627 603.11 979.19 0.16 -35.8 2.52 2 0 0.231 0.033342957496643066
647 478.13 1012.56 0.34 40.34 3.66 1 0 0.226 -0.0055592781864106655
706 1533.92 1087.07 0.38 70.55 3.57 1 0 0.221 0.004800745286047459
775 645.26 1193.81 0.43 41.95 1.95 2 0 0.237 0.009779282845556736
818 1090.03 1251.87 0.27 -78.62 3.04 1 0 0.226 0.012183582410216331
824 483.39 1258.34 0.12 34.94 2.03 1 0 0.254 0.015221923589706421
832 474.0 1271.28 0.4 -59.33 5.5 1 0 0.225 0.03981703147292137
834 1088.21 1270.38 0.75 -11.2 1.6 2 0 0.234 0.005627690348774195
842 872.98 1283.98 0.51 -12.48 2.71 2 0 0.229 0.013595938682556152
843 1048.96 1290.8 0.38 35.77 7.46 1 0 0.226 0.04906987398862839
844 1633.53 1284.53 0.42 46.15 1.6 2 0 0.232 0.0024546359200030565
853 231.95 1298.94 0.19 -51.01 3.29 1 0 0.225 0.012008914723992348
923 765.08 1390.93 0.73 -53.44 1.6 1 0 0.220 0.0006240446818992496
939 903.94 1416.16 0.22 -66.73 3.74 1 0 0.221 0.05038251727819443
975 651.42 1474.57 0.52 51.73 2.99 1 0 0.227 0.008842877112329006
979 433.1 1477.03 0.31 -70.31 2.76 1 0 0.223 0.0169586930423975
996 1031.05 1503.4 0.26 -75.14 2.39 1 0 0.218 0.016555044800043106
1000 1702.61 1509.1 0.41 20.52 5.81 1 0 0.250 0.023470737040042877
1021 1208.75 1538.14 0.15 85.31 2.82 2 0 0.252 0.02669117972254753
1036 538.38 1566.25 0.07 -61.62 5.41 1 0 0.226 0.03084917552769184
1037 1455.01 1561.43 0.58 -64.75 1.6 1 0 0.220 -0.0021817313972860575
1058 1350.57 1585.66 0.24 58.96 2.99 1 0 0.217 0.03122294694185257
1079 57.16 1615.92 0.49 -21.44 1.6 1 0 0.254 0.007605775259435177
1083 1308.41 1621.18 0.15 73.71 2.46 1 0 0.238 0.016493238508701324
1108 1508.81 1651.36 0.13 -80.31 1.69 1 0 0.236 0.011680824682116508
1122 1472.07 1668.76 0.45 40.63 1.69 2 0 0.230 0.006315240170806646
1127 1700.33 1682.9 0.51 87.68 3.7 2 0 0.242 0.017074275761842728
1149 783.07 1725.69 0.3 -59.83 2.52 2 0 0.233 0.012352252379059792
1159 1293.04 1737.16 0.36 8.35 2.88 1 0 0.253 0.007234817836433649
1179 1282.1 1778.14 0.2 -45.62 1.6 1 0 0.220 -0.006805550307035446
1225 1962.78 1855.88 0.19 66.48 4.33 2 0 0.231 0.007931561209261417
1228 150.96 1862.25 0.21 -42.7 4.44 1 0 0.230 0.004140686709433794
1257 1489.35 1911.5 0.17 -17.14 3.09 1 0 0.222 0.013009583577513695
1265 1476.52 1934.32 0.42 49.55 7.84 1 0 0.226 0.06829313933849335
1285 478.04 1963.42 0.2 -83.52 2.88 2 0 0.249 0.0030536355916410685
1286 1809.84 1962.89 0.22 -43.53 1.6 1 0 0.220 -0.00461036479100585
1304 1193.49 1985.55 0.25 71.52 2.99 2 0 0.246 0.01855693757534027
1335 126.51 74.21 0.7 -12.52 25.82 1 0 0.219 -0.002354847267270088
1351 1194.36 85.28 0.18 -79.91 4.98 1 0 0.228 0.02544805221259594
1360 736.18 129.2 0.39 66.73 4.75 1 0 0.233 0.012480558827519417
1370 1409.96 341.05 0.44 -84.87 6.36 1 0 0.227 0.05900787189602852
1371 1418.32 337.97 0.06 -39.97 3.34 2 0 0.230 0.049409739673137665
1374 750.58 521.91 0.38 -54.24 3.99 1 0 0.225 0.006492149084806442
1382 1743.67 628.37 0.15 -29.5 10.73 1 0 0.220 0.06318327784538269
1383 1750.64 635.58 0.46 -58.28 4.15 1 0 0.220 0.007094004191458225
1386 1116.02 829.73 0.07 61.81 7.29 1 0 0.216 0.09903952479362488
1429 964.22 1404.42 0.07 81.9 7.42 1 0 0.226 0.08249327540397644
1430 968.72 1412.89 0.82 -44.29 1.6 2 0 0.249 0.0028387783095240593
1431 704.41 1452.51 0.09 -48.57 3.48 2 0 0.248 0.008663548156619072
1439 736.12 1562.15 0.14 43.1 3.66 1 0 0.252 0.005866987630724907
1440 756.52 1571.13 0.35 27.43 8.37 1 0 0.252 0.08419403433799744
1466 896.4 1936.99 0.15 -75.3 5.01 1 0 0.247 -0.0035462190862745047
1468 1512.46 1982.94 0.28 35.98 8.33 1 0 0.227 0.06071092188358307
