NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius flag type redshift med_flux
11 1166.78 42.27 0.22 -75.29 3.99 1 0 0.245 0.017
13 69.58 43.88 0.2 29.33 3.66 1 1 0.245 0.022
28 1952.23 92.3 0.39 -18.11 4.3 1 0 0.247 0.012
52 865.05 156.43 0.22 77.19 4.75 1 0 0.244 0.038
55 1396.72 170.48 0.54 -66.03 3.57 1 0 0.234 0.009
73 1917.17 226.43 0.36 -51.94 4.07 1 0 0.245 -0.007
78 1312.41 243.91 0.4 70.91 2.39 1 1 0.245 0.002
81 1442.12 255.43 0.17 -68.94 4.98 1 0 0.233 0.036
85 1563.64 260.3 0.29 -73.37 3.57 1 1 0.242 0.026
89 1894.64 265.77 0.07 -19.08 2.46 1 1 0.239 0.007
108 1562.11 307.8 0.51 -52.68 2.19 1 1 0.244 0.010
111 1052.29 323.5 0.25 -78.04 4.07 1 0 0.245 0.048
123 1002.85 372.64 0.57 -2.32 3.09 1 1 0.244 0.015
128 1966.86 397.61 0.44 -79.97 6.1 1 0 0.234 0.014
130 1397.01 398.05 0.45 -58.91 6.21 1 0 0.243 0.030
151 1646.48 458.51 0.21 81.62 3.09 1 0 0.246 0.021
154 584.66 465.08 0.54 17.42 5.64 1 1 0.245 0.071
160 943.05 476.02 0.53 -72.88 5.7 1 0 0.247 0.088
165 277.73 483.28 0.27 -87.44 4.41 2 1 0.245 0.023
183 1222.59 517.5 0.09 -59.08 3.04 1 0 0.246 0.007
184 1238.04 530.52 0.13 17.41 5.64 1 0 0.243 0.050
189 1476.69 534.21 0.14 -36.18 3.14 1 0 0.248 0.053
190 785.31 533.79 0.35 26.79 2.65 1 1 0.246 0.018
191 67.98 535.98 0.7 74.97 1.95 1 1 0.252 0.002
219 1948.59 605.1 0.37 -40.11 3.74 1 0 0.228 0.021
225 474.63 623.64 0.27 63.94 4.51 1 0 0.246 0.019
246 1591.69 652.2 0.37 -2.14 1.87 1 1 0.24 0.010
252 538.17 682.38 0.19 57.2 4.85 1 0 0.245 0.059
259 1158.48 691.01 0.11 -19.36 3.24 1 1 0.245 0.030
271 1880.49 712.71 0.42 -39.96 5.26 1 0 0.245 0.028
277 1234.46 725.33 0.41 13.13 2.33 1 1 0.247 0.007
280 1137.04 730.35 0.12 49.75 3.95 1 1 0.246 0.100
287 1884.18 743.21 0.44 -21.22 2.93 1 0 0.246 0.011
305 1299.43 782.59 0.36 -33.24 4.92 1 0 0.247 0.013
312 1162.34 789.96 0.19 -84.61 4.51 1 0 0.245 0.042
318 1401.79 800.42 0.17 42.02 2.76 2 0 0.25 0.021
319 1904.79 801.62 0.07 -46.13 3.14 1 1 0.242 0.022
321 1147.63 806.33 0.34 61.15 4.55 1 0 0.246 0.027
328 827.27 822.55 0.21 19.91 3.61 1 0 0.246 0.056
329 1522.98 824.86 0.34 -53.46 3.39 1 1 0.241 0.024
331 548.26 824.08 0.43 10.52 2.99 1 0 0.246 0.028
339 1768.84 842.57 0.18 -18.15 3.48 1 0 0.248 0.018
342 1082.38 846.57 0.3 45.5 2.26 1 0 0.244 0.018
345 1198.67 851.3 0.24 -35.99 2.39 1 0 0.247 0.017
348 940.76 855.2 0.52 32.73 5.7 1 0 0.245 0.055
349 1835.79 855.81 0.39 35.45 3.24 1 0 0.245 0.011
354 1429.56 861.87 0.1 32.74 3.04 2 0 0.251 0.018
363 1178.49 878.46 0.13 -52.99 5.23 1 0 0.244 0.053
364 912.86 875.73 0.43 -4.88 1.95 1 1 0.248 0.008
369 1305.37 900.53 0.61 -48.16 5.64 1 0 0.25 0.027
371 1383.55 896.72 0.34 3.26 2.93 1 0 0.233 0.020
375 1935.12 906.08 0.05 -15.76 5.14 1 0 0.242 0.100
378 1041.04 913.1 0.34 -45.3 5.41 1 0 0.244 0.060
381 1210.14 913.06 0.25 -69.4 2.11 1 1 0.247 0.009
385 386.39 922.69 0.14 2.33 5.44 1 0 0.248 0.057
388 1295.34 925.74 0.67 -30.75 2.88 1 0 0.251 0.005
391 1355.91 928.85 0.21 -43.76 1.6 1 1 0.243 0.006
396 710.02 935.75 0.37 35.7 2.65 1 1 0.251 0.018
399 1637.72 942.9 0.32 82.06 2.11 2 1 0.235 0.005
409 1981.39 961.84 0.33 -55.37 3.91 1 0 0.246 0.010
410 393.04 963.65 0.36 53.35 3.34 1 0 0.247 0.027
414 632.91 972.63 0.08 63.17 3.34 1 0 0.245 0.035
417 589.43 975.47 0.21 -23.14 2.39 1 1 0.244 0.010
431 1839.34 999.36 0.2 22.61 3.87 1 0 0.248 0.058
432 574.94 1000.02 0.45 59.8 1.95 1 1 0.234 0.012
436 397.81 1007.76 0.36 71.28 1.78 1 0 0.247 0.007
440 1344.69 1013.48 0.39 -51.1 2.46 1 0 0.227 0.002
441 1312.87 1014.22 0.25 -44.31 2.39 1 1 0.227 0.017
454 1219.4 1045.77 0.31 -75.55 4.51 1 1 0.246 0.036
479 1502.36 1090.56 0.24 -3.78 3.24 1 0 0.246 0.009
501 1168.73 1126.2 0.11 -33.14 4.51 1 0 0.248 0.039
508 1340.84 1138.56 0.12 35.64 2.71 2 2 0.624 0.017
509 534.37 1144.15 0.22 50.27 3.95 1 0 0.246 0.021
523 458.27 1167.11 0.53 35.54 1.6 1 1 0.253 -0.004
525 1939.28 1173.93 0.13 0.67 4.41 1 0 0.247 0.043
528 1985.78 1174.68 0.18 -60.06 2.11 2 1 0.247 0.010
542 281.36 1209.87 0.06 -7.03 7.16 1 1 0.247 0.027
557 843.3 1233.78 0.28 -75.12 4.11 1 0 0.243 0.045
563 1205.98 1240.29 0.23 -25.27 4.37 1 0 0.246 0.031
564 352.24 1241.64 0.64 49.34 1.95 2 1 0.249 0.009
566 593.42 1243.92 0.09 -54.37 2.52 1 1 0.238 0.016
568 775.23 1245.43 0.23 70.05 2.71 1 1 0.248 0.018
578 1799.17 1269.35 0.21 73.51 3.39 2 0 0.248 0.015
582 1397.86 1275.2 0.27 46.87 2.59 1 0 0.245 0.009
586 1166.04 1281.91 0.19 63.45 2.65 1 0 0.245 0.008
588 1814.95 1287.08 0.41 -30.96 3.04 1 0 0.247 0.007
591 803.61 1289.03 0.31 -2.22 4.26 1 0 0.249 0.055
603 1447.66 1315.34 0.65 -40.97 1.6 1 1 0.236 -0.003
605 1687.46 1327.89 0.32 65.38 3.52 1 1 0.247 0.027
616 1889.39 1340.82 0.18 -40.06 4.3 1 0 0.248 0.033
617 667.78 1340.28 0.33 -5.97 2.88 1 1 0.251 0.022
628 894.25 1360.67 0.39 13.2 4.26 2 1 0.252 0.036
632 1536.02 1372.51 0.29 -18.24 1.69 1 1 0.245 -0.002
675 791.57 1452.51 0.25 -11.6 5.17 1 0 0.242 0.055
686 1504.19 1473.07 0.1 21.59 3.87 1 0 0.247 0.065
729 611.19 1571.08 0.16 -72.24 6.51 1 0 0.247 0.072
755 1380.1 1660.63 0.53 61.26 2.71 2 1 0.25 0.007
756 1505.12 1658.89 0.42 -61.93 1.6 2 1 0.227 -0.001
757 2004.02 1660.34 0.38 52.61 1.69 2 1 0.228 0.008
758 381.36 1661.84 0.34 77.17 1.78 1 1 0.249 0.005
759 1517.31 1661.53 0.24 41.54 1.95 1 1 0.249 0.008
803 402.76 1765.24 0.28 -18.51 2.82 1 1 0.218 0.022
815 689.51 1794.48 0.4 59.79 3.61 1 1 0.245 0.022
816 181.3 1796.13 0.23 -21.46 4.62 1 1 0.248 0.044
819 1076.5 1809.83 0.45 8.61 8.0 1 0 0.245 0.034
830 514.9 1830.97 0.28 -79.25 6.84 1 0 0.233 0.057
840 68.58 1860.86 0.22 -20.73 2.03 2 1 0.246 0.009
853 321.7 1903.89 0.11 -82.52 2.39 1 1 0.217 0.083
857 477.18 1916.05 0.14 -65.38 3.34 1 0 0.246 0.013
877 711.38 1963.65 0.32 -59.41 6.13 1 0 0.246 0.039
883 1327.98 1976.29 0.39 -64.69 1.6 1 1 0.243 0.007
899 56.93 39.47 0.68 -74.23 11.42 1 1 0.222 0.009
949 1570.48 301.93 0.58 -51.34 2.11 2 2 0.635 0.003
950 1210.22 477.52 0.43 30.15 5.23 1 0 0.247 0.061
951 1219.27 480.12 0.14 61.09 2.33 1 1 0.246 0.006
967 1785.97 783.68 0.28 -76.04 7.8 1 0 0.248 0.114
968 804.1 776.56 0.53 51.1 4.3 1 0 0.247 0.016
969 813.77 784.08 0.03 30.98 5.75 1 0 0.247 0.038
970 1082.61 884.6 0.2 -31.99 4.37 1 0 0.245 0.075
978 1079.92 956.9 0.32 -26.63 8.21 1 0 0.245 0.118
979 1085.38 966.04 0.4 -4.17 4.95 1 0 0.245 0.019
982 1924.86 1169.27 0.1 -56.95 5.94 1 0 0.247 0.084
983 1908.76 1166.59 0.01 -24.3 3.78 1 0 0.228 0.023
984 1914.44 1170.97 0.15 14.64 3.83 1 0 0.228 0.021
988 1303.69 1226.08 0.6 72.57 4.22 1 1 0.245 0.026
