NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius flag type redshift med_flux
12 1265.4 46.12 0.39 -8.94 1.69 1 0 0.237 5.311714495474156e-16
26 1322.83 78.9 0.36 -73.39 2.71 1 0 0.253 2.3136272967448114e-15
31 40.89 98.75 0.53 56.26 1.6 1 0 0.250 -1.6918276099454812e-16
37 1954.51 128.68 0.66 64.28 2.11 1 0 0.250 9.920039067262947e-16
48 1863.23 185.47 0.17 -64.02 6.26 1 0 0.248 5.155870491695613e-15
54 551.9 217.86 0.43 26.89 1.6 1 0 0.237 5.765672803830033e-16
69 985.87 267.36 0.31 -72.99 1.87 1 0 0.244 3.3465607354549404e-16
83 780.13 300.67 0.27 67.8 1.69 1 0 0.244 -9.01577104497149e-17
119 1425.35 415.94 0.08 -12.88 4.11 1 0 0.248 2.2378928103813835e-15
121 1943.09 417.03 0.16 8.09 2.88 1 0 0.245 1.906872334594403e-15
133 1761.0 454.36 0.37 85.22 5.97 1 0 0.233 4.6337000907017544e-15
141 1315.48 477.59 0.36 -57.21 2.52 1 0 0.246 1.780677130947721e-15
160 1723.58 539.11 0.06 65.24 3.39 1 0 0.247 -3.72002629692663e-16
168 1284.72 557.78 0.46 -67.11 1.95 1 0 0.253 3.124084620182842e-16
176 1964.75 588.05 0.35 -75.31 5.73 1 0 0.246 4.9692623571519125e-15
180 75.11 597.86 0.22 49.0 1.6 1 0 0.247 6.373062130855963e-16
182 1623.97 601.7 0.58 41.64 2.39 1 0 0.243 8.192989180392672e-16
183 936.87 606.42 0.44 -45.26 2.03 1 0 0.250 1.6445949352242133e-15
206 1749.83 734.49 0.25 -89.61 1.78 1 0 0.251 -7.318653714270405e-16
228 1654.92 812.59 0.37 3.5 8.1 1 0 0.248 1.0048704218983823e-14
230 1569.44 819.41 0.55 -51.1 2.39 1 0 0.247 1.801359954983997e-16
265 1694.53 972.66 0.67 -52.42 1.78 1 0 0.245 1.7142647186248596e-16
269 34.17 989.31 0.48 22.94 2.46 1 0 0.250 6.483911215080765e-16
275 964.22 1021.47 0.78 -89.06 3.48 1 0 0.251 1.1777008455769863e-15
277 1897.29 1021.08 0.03 82.78 5.84 1 0 0.252 2.9186912218689964e-14
310 280.12 1152.26 0.5 -46.04 7.02 1 0 0.245 5.223420522206196e-15
314 1868.53 1171.68 0.36 56.6 2.71 1 0 0.247 1.4943069381840668e-15
331 1647.58 1248.64 0.03 -1.49 3.39 1 0 0.247 2.466603564601306e-15
334 702.21 1277.15 0.51 21.84 1.87 1 0 0.253 1.5659215621711682e-15
335 1464.74 1281.04 0.04 1.92 3.78 1 0 0.248 2.2819961218790204e-15
342 1118.51 1336.24 0.55 21.74 1.6 1 0 0.239 -2.9677548959486085e-16
382 670.87 1498.02 0.53 66.3 1.69 1 0 0.247 3.4628099194162847e-16
399 295.61 1590.94 0.5 40.65 7.18 1 0 0.247 2.972288586859228e-15
444 1517.14 1749.24 0.53 54.37 1.6 1 0 0.245 -3.801887531416226e-16
455 21.45 1799.03 0.34 22.41 5.94 1 0 0.245 1.2257074966538078e-15
464 966.65 1852.16 0.49 34.41 1.6 1 0 0.245 2.500369262494178e-16
471 1372.49 1878.52 0.54 0.76 1.6 1 0 0.253 1.3603302546091964e-15
487 933.59 1946.41 0.32 27.72 3.04 1 0 0.225 2.4313494180618718e-15
494 263.24 1989.31 0.26 -44.77 7.48 1 0 0.245 5.4056486493796446e-15
498 383.6 1991.63 0.68 -23.02 1.6 1 0 0.252 7.694941748341024e-16
563 734.03 172.18 0.37 39.4 3.19 1 0 0.250 6.231454103942805e-16
564 740.15 176.28 0.15 17.11 2.11 1 0 0.250 -5.929230630780102e-17
597 405.1 1635.65 0.24 25.02 9.18 1 0 0.245 6.093908658802915e-15
598 399.19 1642.91 0.64 24.13 3.74 1 0 0.24 4.574459135766381e-16
