NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius flag type redshift med_flux
13 1424.13 45.01 0.07 -18.12 6.82 1 0 0.225 0.04880155622959137
21 1493.14 55.07 0.39 -3.11 3.29 1 0 0.223 0.02306763455271721
25 295.29 64.76 0.47 -80.98 6.53 1 0 0.227 0.025545665994286537
35 1598.27 65.34 0.41 -69.03 1.6 2 0 0.231 0.001766153029166162
37 464.88 68.03 0.28 49.72 2.46 1 0 0.242 0.005939651280641556
38 568.83 74.56 0.28 84.55 7.38 1 0 0.235 0.05168147012591362
39 1165.21 78.8 0.08 -9.17 8.63 1 0 0.221 0.06791888177394867
55 835.7 93.6 0.4 70.61 3.61 1 0 0.218 0.02456890232861042
63 272.78 104.94 0.23 19.69 4.58 1 0 0.227 0.015209399163722992
79 1608.93 127.5 0.31 -87.95 3.34 1 0 0.235 0.01522961538285017
91 194.64 142.37 0.5 25.82 4.55 1 0 0.222 0.00830911472439766
94 1461.19 152.82 0.07 -30.75 6.43 1 0 0.222 0.04668506607413292
95 891.72 151.34 0.25 32.58 5.23 1 0 0.218 0.04330950602889061
113 1379.05 173.26 0.12 -74.36 3.87 1 0 0.231 -0.0006506337085738778
125 1352.37 190.91 0.41 86.26 2.76 2 0 0.226 0.019657278433442116
131 891.5 207.94 0.21 59.1 3.61 2 0 0.235 0.038931895047426224
137 128.25 220.17 0.37 38.85 4.89 1 0 0.252 0.02625950053334236
150 1841.52 237.68 0.11 17.01 8.25 1 0 0.225 0.1179468035697937
181 208.82 294.9 0.4 26.67 3.78 1 0 0.247 0.02546178549528122
201 874.37 338.27 0.38 77.67 4.65 1 0 0.226 0.02051396295428276
202 201.37 333.95 0.51 -33.24 1.69 1 0 0.224 0.01631878688931465
211 832.15 352.63 0.38 78.64 5.5 1 0 0.228 0.03654894977807999
232 1847.54 382.86 0.27 -24.95 5.89 1 0 0.225 0.022345364093780518
267 1024.07 434.31 0.33 39.25 5.05 1 0 0.228 0.02583954483270645
283 1819.37 454.44 0.31 3.2 5.53 1 0 0.221 0.04076326638460159
289 1909.29 459.17 0.41 -41.06 3.39 1 0 0.227 0.01000961009413004
293 626.46 470.0 0.35 48.78 2.71 1 0 0.240 0.010096939280629158
298 1733.1 474.37 0.09 -51.31 4.55 1 0 0.232 0.011710921302437782
311 508.86 499.72 0.32 50.79 3.95 2 0 0.229 0.014425870031118393
327 456.58 526.95 0.41 43.5 6.36 1 0 0.229 0.04248867556452751
331 1609.75 525.36 0.11 -57.03 2.65 1 0 0.217 0.009837444871664047
334 358.07 529.56 0.25 -18.36 5.56 1 0 0.237 0.031074730679392815
348 1291.3 558.99 0.19 -68.24 5.89 1 0 0.227 0.02868792787194252
349 1981.9 555.36 0.46 -22.63 1.6 1 0 0.226 -0.007298441603779793
352 878.41 562.43 0.52 -47.35 1.87 1 0 0.244 0.009815467521548271
361 1797.65 571.16 0.26 62.0 2.19 1 0 0.237 0.010557202622294426
375 969.32 596.25 0.07 65.72 2.52 1 0 0.223 0.013249003328382969
376 874.95 602.23 0.2 33.19 6.72 1 0 0.228 0.06566122174263
421 409.0 688.07 0.7 72.45 1.69 1 0 0.231 0.007743011694401503
430 811.49 702.49 0.08 -79.08 6.33 1 0 0.226 0.10960807651281357
456 892.75 735.17 0.19 -9.95 4.51 1 0 0.239 0.028235556557774544
462 450.68 743.87 0.48 34.45 7.4 1 0 0.231 0.036691632121801376
482 684.15 784.49 0.21 89.77 1.78 1 0 0.226 0.0050913868471980095
493 612.64 805.01 0.66 -49.9 1.95 1 0 0.230 0.0005507005262188613
521 562.7 852.3 0.09 19.45 4.85 1 0 0.217 0.08161429315805435
528 506.27 860.87 0.33 31.84 5.29 1 0 0.216 0.028598112985491753
531 436.3 867.55 0.51 -75.53 3.43 1 0 0.234 0.017176788300275803
575 587.03 946.88 0.35 43.63 3.91 1 0 0.217 0.01680227555334568
580 914.63 963.29 0.19 46.9 5.41 1 0 0.233 0.01733989082276821
588 1095.82 984.72 0.33 -80.29 3.78 1 0 0.239 0.01072425302118063
589 1564.61 989.29 0.3 -89.04 5.59 1 0 0.220 0.06545277684926987
597 436.42 1012.69 0.28 33.41 5.64 2 0 0.230 0.05302506685256958
601 945.43 1023.69 0.29 50.59 5.44 1 0 0.218 0.0644470676779747
633 600.66 1091.66 0.31 49.44 2.19 1 0 0.226 0.0010524410754442215
642 922.96 1116.57 0.15 -71.16 4.03 2 0 0.253 0.01849420741200447
665 1040.73 1148.17 0.53 -67.12 6.48 1 0 0.254 0.02588607929646969
666 672.08 1145.48 0.29 48.63 2.52 1 0 0.253 0.01416004542261362
673 994.02 1160.69 0.16 -69.94 2.99 1 0 0.237 0.002809734083712101
678 1353.11 1173.87 0.19 43.83 1.6 1 0 0.246 0.001374927582219243
722 1208.72 1260.26 0.2 -71.46 4.55 1 0 0.237 0.02606072463095188
738 1052.3 1293.17 0.37 17.28 3.04 1 0 0.254 0.010539849288761616
758 622.95 1337.19 0.05 -50.56 7.65 1 0 0.227 0.06535936146974564
761 1796.87 1336.65 0.51 32.9 2.26 1 0 0.231 0.010895183309912682
775 1689.54 1352.86 0.29 56.59 2.33 1 0 0.233 0.005617495160549879
816 530.51 1430.65 0.15 -60.89 2.93 1 0 0.227 0.002405521459877491
862 765.72 1515.84 0.11 -32.75 4.03 2 0 0.240 0.015262562781572342
863 269.22 1515.76 0.32 4.6 3.04 1 0 0.221 0.006383122876286507
875 132.51 1548.12 0.36 21.42 6.72 1 0 0.227 0.03432275727391243
879 811.16 1549.75 0.36 77.99 4.15 1 0 0.225 0.016037382185459137
914 1539.72 1601.63 0.41 -70.43 1.6 1 0 0.248 -0.003866662736982107
935 1399.9 1635.99 0.32 22.99 3.39 2 0 0.253 0.012797071598470211
944 382.97 1650.73 0.11 73.92 4.75 2 0 0.239 0.03045160137116909
961 1849.65 1668.92 0.22 25.12 3.57 2 0 0.236 0.02404138632118702
976 1431.54 1695.12 0.35 63.3 2.59 1 0 0.248 0.0053483047522604465
978 244.47 1695.45 0.66 -48.82 2.33 1 0 0.228 0.007360419258475304
985 1454.22 1710.39 0.4 68.7 4.48 1 0 0.226 0.015468880534172058
988 791.84 1714.24 0.39 -19.31 1.69 2 0 0.240 0.017201950773596764
1002 1831.61 1758.52 0.32 66.31 6.41 1 0 0.227 0.05781353637576103
1010 910.89 1763.26 0.3 -7.66 4.72 1 0 0.237 0.01419785339385271
1016 620.55 1767.15 0.37 57.45 2.39 1 0 0.229 0.011306311935186386
1026 1107.81 1796.76 0.1 -32.95 8.29 1 0 0.239 0.06489087641239166
1046 419.87 1827.72 0.4 -70.55 2.26 1 0 0.251 0.014935174025595188
1063 1238.32 1853.13 0.01 35.09 4.79 1 0 0.233 0.02606448344886303
1102 61.25 1936.64 0.43 71.41 1.6 2 0 0.233 0.004193661734461784
1128 1348.63 2007.46 0.65 84.87 2.46 1 0 0.246 0.008937343023717403
1168 152.98 46.97 0.49 -1.05 5.53 1 0 0.223 0.015356418676674366
1176 1271.42 86.73 0.33 73.3 5.2 1 0 0.227 0.006726966705173254
1180 1696.43 93.94 0.14 9.75 3.04 1 0 0.223 0.010512865148484707
1185 122.36 121.88 0.29 5.28 8.5 1 0 0.241 0.02904915250837803
1187 1400.77 126.71 0.19 -68.19 4.44 1 0 0.228 0.03193981200456619
1190 113.63 139.77 0.45 -39.19 2.19 1 0 0.217 0.00883195735514164
1205 322.49 220.29 0.54 30.14 5.89 1 0 0.223 0.0367015078663826
1207 319.71 229.52 0.18 25.45 6.41 1 0 0.223 0.030379481613636017
1213 1501.75 292.93 0.16 71.32 3.91 1 0 0.235 0.0193819347769022
1230 263.66 458.38 0.04 -83.64 2.39 1 0 0.218 0.013200108893215656
1269 1054.12 1312.18 0.5 -73.0 4.79 1 0 0.238 0.013524186797440052
1277 1478.42 1639.58 0.17 -43.36 4.3 1 0 0.229 0.07948440313339233
1281 1205.59 1648.41 0.73 82.9 2.93 1 0 0.243 0.004764766898006201
