NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius
1 98.09 15.96 0.36 17.64 3.99
2 154.45 14.83 0.40 7.72 3.04
3 672.09 22.05 0.41 46.15 3.61
4 1209.24 21.29 0.25 -60.18 2.99
5 216.24 24.25 0.06 69.69 6.18
6 1557.48 31.82 0.43 76.91 3.19
7 416.74 36.49 0.28 -72.39 1.95
8 388.06 42.43 0.31 36.09 6.26
9 480.80 37.48 0.25 -8.93 1.95
10 1464.36 37.77 0.41 20.89 1.60
11 578.81 40.51 0.19 -59.76 3.14
12 1345.40 39.22 0.15 -2.79 1.87
13 1424.13 45.01 0.07 -18.12 6.82
14 367.43 46.59 0.25 39.34 7.11
15 1885.94 46.54 0.40 -66.22 5.81
16 1749.13 41.20 0.29 30.82 1.95
17 1596.39 48.66 0.16 -47.30 5.53
18 508.03 49.96 0.15 -72.94 5.47
19 1548.09 55.52 0.11 78.02 4.15
20 1384.17 53.48 0.48 62.67 1.69
21 1493.14 55.07 0.39 -3.11 3.29
22 1043.81 57.10 0.02 38.50 3.99
23 631.75 56.47 0.42 11.48 2.99
24 1192.99 57.57 0.69 -52.67 1.69
25 295.29 64.76 0.47 -80.98 6.53
26 438.32 59.97 0.47 -43.39 2.46
27 591.12 62.07 0.18 40.80 3.70
28 714.00 62.10 0.49 79.83 1.60
29 1637.14 61.54 0.41 64.26 1.69
30 852.39 65.85 0.41 -73.03 2.03
31 1190.90 75.06 0.46 -77.05 6.41
32 2016.60 64.43 0.61 6.96 2.11
33 144.38 76.01 0.35 65.26 9.29
34 1201.49 65.87 0.54 -72.19 1.78
35 1598.27 65.34 0.41 -69.03 1.60
36 1742.18 67.20 0.07 -85.56 2.99
37 464.88 68.03 0.28 49.72 2.46
38 568.83 74.56 0.28 84.55 7.38
39 1165.21 78.80 0.08 -9.17 8.63
40 1096.88 76.47 0.40 -71.32 3.39
41 984.79 75.66 0.24 34.52 2.76
42 1081.26 78.76 0.18 64.12 4.41
43 1447.65 91.89 0.07 -61.98 15.60
44 256.49 81.76 0.23 0.29 4.41
45 849.72 78.76 0.10 -8.49 2.33
46 282.02 91.04 0.23 28.73 10.57
47 2020.27 82.81 0.29 43.41 1.69
48 606.30 83.72 0.22 -80.36 1.69
49 1381.13 86.12 0.35 1.07 2.93
50 849.53 88.08 0.77 73.72 2.52
51 1675.04 90.26 0.14 -41.21 5.56
52 1191.33 92.54 0.62 -81.53 4.26
53 2019.31 87.78 0.53 49.36 1.69
54 481.66 91.84 0.28 88.06 3.57
55 835.70 93.60 0.40 70.61 3.61
56 1802.52 93.60 0.38 -76.01 3.43
57 942.71 92.76 0.43 40.22 2.39
58 1640.91 94.49 0.32 -62.01 3.95
59 1427.13 93.67 0.52 -17.16 1.95
60 102.01 93.50 0.63 -11.00 1.60
61 1112.09 98.82 0.56 21.79 3.48
62 355.32 99.96 0.28 18.85 4.79
63 272.78 104.94 0.23 19.69 4.58
64 1557.67 102.95 0.33 -16.84 3.34
65 2029.85 102.43 0.75 -62.51 1.69
66 2019.30 107.20 0.64 35.60 2.65
67 1948.80 109.41 0.18 -13.10 4.33
68 1729.09 120.12 0.45 67.28 9.11
69 1102.85 115.36 0.05 54.78 7.14
70 846.81 116.54 0.57 74.69 2.88
71 943.40 120.21 0.12 -81.71 6.10
72 519.30 124.10 0.20 31.59 11.83
73 1144.82 115.09 0.18 -6.92 2.59
74 1188.63 116.01 0.60 -81.34 2.03
75 1629.16 117.14 0.66 -24.34 1.69
76 857.93 122.66 0.50 70.91 2.11
77 1990.85 122.81 0.66 59.20 2.11
78 1063.80 125.79 0.14 28.98 4.92
79 1608.93 127.50 0.31 -87.95 3.34
80 1004.26 129.89 0.20 2.64 6.00
81 2018.68 128.28 0.49 66.03 2.03
82 843.18 130.04 0.72 -66.13 1.87
83 1581.63 131.71 0.35 -45.20 4.55
84 932.71 133.41 0.04 -60.65 5.67
85 770.23 133.52 0.08 29.91 4.26
86 174.96 141.59 0.25 27.52 10.67
87 612.29 135.16 0.18 -10.20 1.87
88 658.99 135.12 0.34 -25.51 1.60
89 706.65 136.22 0.24 65.35 2.59
90 843.14 143.88 0.28 64.79 7.92
91 194.64 142.37 0.50 25.82 4.55
92 1267.25 143.77 0.13 69.78 4.48
93 649.26 148.60 0.20 40.98 5.61
94 1461.19 152.82 0.07 -30.75 6.43
95 891.72 151.34 0.25 32.58 5.23
96 2020.95 151.84 0.53 36.75 2.88
97 104.33 150.99 0.38 -36.95 1.69
98 1784.48 152.18 0.06 31.02 2.52
99 854.97 157.48 0.21 89.56 1.60
100 1189.71 157.52 0.34 69.39 1.87
101 2015.80 157.86 0.50 55.19 1.60
102 1943.99 160.72 0.43 -61.89 3.04
103 849.74 164.28 0.38 68.77 1.87
104 1828.20 182.36 0.15 -43.32 17.93
105 280.63 170.30 0.28 15.75 5.14
106 574.59 173.38 0.15 41.41 6.63
107 1192.11 169.61 0.65 58.03 2.46
108 1010.90 173.16 0.06 66.44 6.13
109 1126.32 175.76 0.10 -69.90 7.69
110 1974.79 168.34 0.30 23.61 1.60
111 850.58 170.13 0.32 15.83 2.33
112 1962.26 174.18 0.62 -74.61 3.14
113 1379.05 173.26 0.12 -74.36 3.87
114 1522.20 180.51 0.11 -37.38 8.27
115 1548.18 174.61 0.30 75.88 2.26
116 1462.51 176.93 0.11 -30.63 4.18
117 1954.68 174.70 0.61 -17.43 1.95
118 774.68 177.01 0.13 57.91 2.93
119 382.28 179.17 0.35 86.30 3.09
120 627.50 190.21 0.11 44.30 12.17
121 546.62 186.56 0.22 64.27 6.75
122 1020.90 188.54 0.11 -44.21 5.56
123 1072.82 192.00 0.11 -54.38 5.38
124 348.75 191.94 0.20 2.75 4.98
125 1352.37 190.91 0.41 86.26 2.76
126 713.83 194.65 0.30 -29.43 2.19
127 812.29 202.23 0.39 -13.66 2.26
128 1324.01 204.22 0.07 -65.08 3.95
129 1560.16 204.79 0.19 -63.88 2.93
130 1346.51 205.66 0.38 -62.36 2.88
131 891.50 207.94 0.21 59.10 3.61
132 155.52 213.68 0.12 64.06 8.21
133 1933.65 208.82 0.26 -83.50 2.26
134 1193.31 209.93 0.59 -71.42 1.78
135 1422.11 211.55 0.10 -58.79 2.11
136 1669.42 214.71 0.07 -86.65 3.61
137 128.25 220.17 0.37 38.85 4.89
138 289.88 218.95 0.28 29.49 3.87
139 731.85 220.89 0.10 54.42 4.18
140 866.78 218.70 0.42 44.54 2.03
141 1456.25 227.02 0.55 -32.32 8.99
142 1319.39 225.76 0.28 40.30 7.07
143 1691.06 224.10 0.49 53.90 2.76
