NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius flag redshift med_flux
3 356.05 17.73 0.42 -13.76 2.46 1 0 0.234 0.011213265359401703
14 1581.09 41.98 0.35 -84.84 2.11 1 0 0.230 -0.014753228984773159
34 1388.81 70.39 0.19 -85.97 3.43 1 0 0.240 0.02882186323404312
40 1512.69 77.25 0.3 -37.82 3.87 1 0 0.221 0.03688319772481918
51 1520.78 88.87 0.38 80.93 1.6 2 0 0.242 0.001313837245106697
53 735.99 90.16 0.21 73.57 1.69 2 0 0.233 0.004065722692757845
63 1953.24 106.79 0.29 -43.55 1.87 1 0 0.239 0.009084219112992287
76 425.26 126.24 0.52 50.39 2.33 1 0 0.229 0.020198581740260124
92 1087.82 148.36 0.02 78.66 2.88 1 0 0.234 0.02046569064259529
108 814.45 183.92 0.1 14.26 1.95 1 0 0.233 -0.006589209660887718
148 1646.26 252.12 0.35 -79.22 3.29 1 0 0.240 0.03009006194770336
150 45.54 250.99 0.38 86.08 2.03 1 0 0.229 -0.008358169347047806
157 1294.15 260.42 0.12 -85.05 3.14 1 0 0.224 0.03693108633160591
160 530.36 268.92 0.17 54.87 3.91 1 0 0.231 0.015549388714134693
169 1947.49 281.73 0.23 68.88 5.23 1 0 0.225 0.10458546876907349
184 1684.46 300.36 0.54 13.6 1.6 2 0 0.232 -0.007117832079529762
198 652.13 338.04 0.3 42.21 2.46 1 0 0.226 0.02386409416794777
199 183.72 339.06 0.47 -42.62 2.26 1 0 0.220 0.012289272621273994
236 287.57 398.99 0.34 27.76 1.78 1 0 0.231 0.03731589391827583
241 1258.64 407.53 0.29 -59.87 2.59 1 0 0.233 0.016082709655165672
247 1447.25 413.9 0.41 -81.6 3.48 1 0 0.231 0.05835026875138283
274 505.54 457.91 0.16 14.94 8.0 1 0 0.229 0.058392494916915894
277 716.22 454.07 0.19 27.45 2.82 1 0 0.232 0.049639854580163956
283 1265.27 463.78 0.32 52.82 1.78 1 0 0.250 0.024804696440696716
293 342.68 478.32 0.31 41.55 4.07 1 0 0.227 0.0409478098154068
312 403.26 501.36 0.14 82.0 2.19 1 0 0.227 0.005368947517126799
357 567.18 576.46 0.38 84.59 2.71 1 0 0.224 0.02470584213733673
381 55.18 614.59 0.33 49.17 1.87 2 0 0.230 -0.0040196385234594345
393 1723.49 631.47 0.22 41.63 2.11 1 0 0.227 0.0167013481259346
413 1849.36 668.42 0.61 -52.16 4.3 1 0 0.229 0.05333075672388077
446 1607.65 720.44 0.15 45.68 2.19 1 0 0.238 0.020021770149469376
477 1841.67 771.44 0.2 -65.05 2.26 1 0 0.238 0.026371337473392487
487 1057.11 790.71 0.32 79.85 2.76 1 0 0.231 0.018323123455047607
503 344.1 813.19 0.35 9.56 2.39 1 0 0.226 0.015640050172805786
535 572.32 850.65 0.36 13.94 5.14 1 0 0.224 0.03627011552453041
546 1150.16 868.92 0.26 -83.13 2.33 1 0 0.229 -0.000448290491476655
569 712.12 894.72 0.14 61.63 4.44 1 0 0.241 0.07235784083604813
576 1355.4 901.91 0.39 20.55 1.69 1 0 0.226 0.004323760978877544
