NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius flag 0 redshift med_flux
4 1056.56 28.18 0.27 77.16 2.39 2 0 0.247 0.0026111823972314596
58 1184.39 109.71 0.14 -24.0 4.98 1 0 0.252 0.03444050997495651
90 223.74 153.61 0.27 48.47 3.95 2 0 0.232 0.03532594442367554
106 77.53 186.27 0.31 -31.44 1.78 1 0 0.227 -0.006879236549139023
108 620.24 193.24 0.41 -81.04 3.43 2 0 0.242 0.008852519094944
159 74.1 259.56 0.48 -63.68 1.69 2 0 0.228 -0.0012083747424185276
191 1600.66 320.57 0.29 -23.15 3.34 2 0 0.254 0.018798092380166054
196 1087.18 333.45 0.58 46.7 6.89 1 0 0.25 0.06170310080051422
216 874.75 361.5 0.17 -72.78 4.15 1 0 0.231 0.013594608753919601
226 70.07 375.57 0.42 38.78 4.69 1 0 0.225 0.009951272048056126
234 468.84 384.66 0.28 -71.45 1.69 1 0 0.238 -0.004735229536890984
259 411.39 420.04 0.66 -40.96 3.48 1 0 0.226 0.006295250728726387
268 1025.71 433.38 0.67 -85.24 2.03 2 0 0.245 0.005196962971240282
321 1096.42 511.05 0.17 -50.27 2.99 1 0 0.225 0.02094161882996559
342 1576.46 552.01 0.12 -16.61 4.07 1 0 0.216 0.026362843811511993
363 1161.9 578.55 0.12 85.58 5.38 1 0 0.25 0.06388793140649796
381 749.05 607.75 0.19 -86.34 2.99 1 0 0.25 0.009580979123711586
401 1021.7 630.19 0.1 -10.22 1.95 2 0 0.251 0.0010214104549959302
403 947.71 635.18 0.32 -66.66 2.88 2 0 0.25 0.007927477359771729
414 1958.58 649.97 0.14 -7.75 7.57 1 0 0.226 0.21405568718910217
423 168.98 656.6 0.16 77.97 4.33 1 0 0.23 0.018651247024536133
427 1252.75 659.82 0.37 -66.43 3.95 1 0 0.249 0.03062812052667141
450 456.36 688.92 0.57 37.08 5.26 1 0 0.229 0.0368901826441288
452 1359.23 693.36 0.1 -43.03 3.87 1 0 0.238 0.03006206825375557
514 921.21 762.18 0.28 -84.62 5.47 1 0 0.25 0.021252665668725967
517 1654.71 759.72 0.42 57.48 2.39 1 0 0.248 0.007104223128408194
545 1238.34 786.73 0.13 2.91 2.59 1 0 0.222 0.017782628536224365
613 1390.98 876.47 0.56 -56.22 3.09 1 0 0.225 0.009757297113537788
655 1256.4 923.32 0.25 -85.66 4.37 2 0 0.242 0.02046920545399189
670 256.83 943.01 0.16 36.75 2.59 1 0 0.225 0.016593627631664276
673 369.86 949.52 0.05 -58.3 4.11 1 0 0.223 0.03564924746751785
679 1340.69 958.45 0.45 27.41 3.7 1 0 0.22 0.020060893148183823
686 1303.57 962.22 0.32 73.68 1.95 1 0 0.22 0.004031735472381115
690 798.31 963.86 0.53 6.7 2.82 1 0 0.225 0.006428204942494631
764 1523.0 1043.32 0.37 -53.95 1.69 2 0 0.251 -0.0004236488020978868
778 1563.49 1063.79 0.04 -11.7 2.11 2 0 0.251 0.012211732566356659
781 1274.44 1073.07 0.26 -37.73 5.94 1 0 0.221 0.06606003642082214
812 770.73 1091.41 0.22 -26.86 2.11 1 0 0.246 0.001980322413146496
816 354.62 1097.0 0.35 -71.57 3.43 2 0 0.256 0.021575817838311195
842 1909.1 1126.07 0.29 68.06 2.46 1 0 0.22 0.005940252915024757
870 419.72 1152.67 0.4 77.23 3.61 1 0 0.221 0.017774803563952446
891 1686.62 1165.65 0.4 15.52 2.46 2 0 0.249 0.003652399405837059
941 1487.17 1227.09 0.34 31.44 3.19 1 0 0.227 0.01609661988914013
1012 1961.67 1304.71 0.28 -88.92 1.95 2 0 0.25 0.0078003378584980965
1022 589.53 1323.34 0.58 11.33 9.29 1 0 0.218 0.2527555823326111
1052 1375.01 1351.22 0.08 -25.71 6.6 1 0 0.223 0.06863697618246078
1066 1027.2 1361.1 0.09 61.18 4.72 1 0 0.228 0.02064264565706253
1073 1143.22 1365.2 0.47 -56.25 2.93 2 0 0.253 0.0021010772325098515
1112 1448.59 1401.59 0.16 51.12 2.03 1 0 0.255 0.005049139726907015
1121 974.65 1409.1 0.76 -8.83 2.39 1 0 0.229 0.010733448900282383
