NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius
1 193.08 27.30 0.32 40.89 6.00
2 788.16 24.88 0.19 60.98 3.66
3 801.98 25.36 0.35 58.40 3.14
4 1056.56 28.18 0.27 77.16 2.39
5 160.24 30.02 0.46 73.70 2.59
6 1068.45 30.12 0.15 -53.29 3.04
7 1280.63 30.59 0.15 -63.19 4.11
8 57.62 32.10 0.31 -74.17 1.95
9 113.98 35.62 0.48 36.84 2.93
10 492.91 40.57 0.34 55.49 5.67
11 1370.42 37.62 0.16 -32.10 2.33
12 392.27 38.01 0.43 13.71 1.95
13 1393.44 44.19 0.37 -56.00 4.72
14 1508.31 44.32 0.34 -56.60 3.95
15 1373.79 50.37 0.28 -83.22 3.19
16 1259.74 52.04 0.42 -86.37 3.66
17 1628.41 55.34 0.28 -58.26 7.05
18 1663.87 50.43 0.42 69.29 1.69
19 84.26 53.50 0.48 -24.96 2.99
20 436.23 52.03 0.57 9.42 2.11
21 1132.32 59.46 0.32 -76.41 5.23
22 1486.33 58.01 0.43 82.41 2.71
23 1813.64 60.17 0.40 -48.87 1.78
24 1435.96 71.47 0.11 -62.12 9.11
25 1859.64 68.67 0.42 -84.47 4.22
26 598.01 66.17 0.09 -82.46 3.43
27 127.38 75.22 0.51 29.59 5.38
28 955.62 72.56 0.23 78.09 2.82
29 1416.99 80.95 0.48 82.61 8.29
30 53.08 73.14 0.22 -44.16 1.60
31 542.80 74.60 0.55 32.98 2.03
32 808.40 75.20 0.32 22.73 3.14
33 1966.95 73.80 0.48 -14.64 1.78
34 1906.62 77.90 0.46 -45.24 3.48
35 628.92 82.56 0.20 -2.68 6.26
36 55.60 80.76 0.76 -37.20 2.03
37 1267.66 84.21 0.29 -66.13 4.65
38 1651.72 85.23 0.05 60.98 3.83
39 1396.79 87.97 0.20 -57.11 3.09
40 1595.05 87.15 0.34 74.97 2.46
41 264.33 90.17 0.44 60.41 3.24
42 375.64 91.20 0.35 48.96 4.75
43 781.38 89.35 0.38 -20.67 2.46
44 802.65 89.70 0.24 -41.60 1.78
45 578.66 90.50 0.37 36.64 2.39
46 880.03 100.63 0.18 81.53 8.65
47 1971.78 94.45 0.12 -0.07 2.03
48 1647.49 97.09 0.54 -82.12 2.39
49 1552.31 104.96 0.25 -66.24 10.54
50 2013.34 96.10 0.73 -84.24 1.69
51 1872.54 100.00 0.27 -77.61 2.88
52 66.57 99.02 0.45 -63.27 1.69
53 83.87 99.20 0.26 45.34 2.76
54 1089.25 99.57 0.50 -23.17 2.46
55 809.50 107.06 0.30 -46.43 4.98
56 861.44 105.80 0.14 35.77 2.93
57 1199.81 104.99 0.17 -7.77 1.87
58 1184.39 109.71 0.14 -24.00 4.98
59 1964.69 110.45 0.56 51.47 2.52
60 153.06 116.44 0.27 29.09 7.98
61 121.41 112.14 0.39 -21.52 1.69
62 618.90 113.17 0.40 74.79 2.19
63 1931.54 116.07 0.36 -32.35 5.29
64 419.66 115.47 0.35 43.89 4.22
65 102.38 115.59 0.31 77.74 2.76
66 1127.00 116.60 0.30 -40.69 2.71
67 411.83 118.97 0.32 30.17 4.33
68 670.13 119.27 0.49 12.44 4.07
69 1448.04 122.82 0.17 -49.95 2.19
70 878.48 125.96 0.06 -49.60 3.24
71 220.86 125.49 0.20 26.95 1.95
72 420.25 129.94 0.58 68.16 1.87
73 53.32 131.01 0.23 65.82 2.26
74 292.58 135.43 0.32 48.06 7.40
75 1749.81 130.08 0.36 -60.28 1.69
76 595.36 132.50 0.31 52.21 2.03
77 707.71 139.88 0.34 67.56 5.59
78 2006.67 135.74 0.44 -18.37 1.60
79 1056.08 137.78 0.35 -71.98 1.95
80 1043.84 139.82 0.17 72.21 2.88
81 443.72 141.31 0.43 31.57 1.87
82 1281.30 139.62 0.40 -1.73 1.60
83 1298.29 140.93 0.18 -33.66 2.82
84 1714.18 142.01 0.35 -79.86 3.24
85 531.67 147.49 0.04 -85.19 6.75
86 1093.81 145.55 0.28 -23.12 4.03
87 1275.20 148.00 0.22 -72.19 6.21
88 1288.43 146.24 0.31 -52.63 2.88
89 1772.25 146.37 0.39 -2.15 2.52
90 223.74 153.61 0.27 48.47 3.95
91 996.43 157.37 0.76 -52.01 1.60
92 1156.48 158.12 0.62 -36.70 1.95
93 1092.54 158.47 0.52 33.48 2.39
94 1288.19 168.77 0.17 -77.08 8.46
95 1803.16 161.03 0.20 1.95 1.78
96 1143.15 162.83 0.39 79.27 2.11
97 1364.60 165.87 0.16 -62.31 5.17
98 1817.42 167.32 0.50 -80.68 1.78
99 775.21 174.10 0.24 78.26 2.03
100 658.97 177.38 0.21 30.16 2.26
101 1481.42 178.67 0.41 12.37 1.78
102 1089.96 184.36 0.47 -76.02 2.52
103 1215.90 182.92 0.30 82.49 1.69
104 1286.79 184.65 0.28 -71.15 3.39
105 701.83 185.85 0.67 -87.49 1.87
106 77.53 186.27 0.31 -31.44 1.78
107 818.70 189.22 0.14 -78.83 3.04
108 620.24 193.24 0.41 -81.04 3.43
109 1091.47 194.07 0.09 -25.80 1.69
110 1644.40 195.98 0.26 71.10 2.39
