NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius
1 97.86 7.84 0.20 -47.70 1.60
2 502.41 13.60 0.30 57.60 3.87
3 444.37 20.21 0.39 60.83 6.48
4 999.17 14.62 0.17 -82.94 3.29
5 1058.07 17.93 0.16 -35.22 4.26
6 233.50 18.67 0.26 -14.99 3.66
7 168.02 19.81 0.70 -70.90 1.60
8 1358.59 20.94 0.60 -70.17 1.87
9 149.44 19.84 0.30 10.85 1.60
10 840.30 27.62 0.10 -83.90 4.37
11 961.48 32.11 0.22 83.96 4.33
12 884.81 30.98 0.68 59.91 1.78
13 351.34 33.71 0.08 48.73 4.15
14 1204.25 33.96 0.13 -66.41 2.11
15 1358.77 36.08 0.60 -72.09 2.39
16 1572.54 36.56 0.09 52.33 3.19
17 1426.82 35.93 0.46 -78.20 1.60
18 1465.75 39.09 0.18 -2.08 5.20
19 1367.58 37.25 0.53 83.98 1.78
20 1628.74 38.91 0.71 -68.83 1.60
21 1122.34 56.25 0.36 85.88 10.98
22 1449.22 44.43 0.26 -89.56 4.26
23 1664.01 45.67 0.18 -44.02 3.57
24 1895.17 48.77 0.22 -70.87 5.94
25 1358.96 47.81 0.67 -88.39 2.26
26 1871.13 50.22 0.17 -59.78 7.86
27 1603.85 49.52 0.19 -87.80 3.43
28 1649.77 51.64 0.01 -80.23 3.14
29 787.44 58.03 0.21 71.75 4.82
30 1359.24 64.18 0.74 -83.58 3.87
31 80.33 57.03 0.44 0.53 1.95
32 1590.12 75.85 0.53 -73.48 12.45
33 1005.60 58.84 0.28 15.66 1.87
34 499.25 63.22 0.18 -27.52 2.71
35 629.52 61.74 0.40 64.06 2.19
36 1536.27 73.64 0.15 -60.36 8.88
37 1256.49 68.56 0.26 -75.34 1.78
38 1248.84 70.17 0.58 21.12 1.95
39 1265.46 75.79 0.12 -78.92 6.53
40 1510.73 75.92 0.18 -73.73 4.75
41 1952.83 79.46 0.10 -75.42 4.48
42 1331.84 78.20 0.07 52.00 3.57
43 561.59 79.59 0.21 61.53 4.79
44 1359.47 79.38 0.76 80.86 2.33
45 1423.49 84.08 0.12 -67.86 8.96
46 1624.45 79.95 0.21 -79.64 5.38
47 1976.36 77.01 0.33 -13.62 1.60
48 100.68 79.14 0.47 47.09 2.33
