NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius flag type redshift med_flux
12 1265.4 46.12 0.39 -8.94 1.69 1 0 0.237 5.615554213379338e-16
26 1322.83 78.9 0.36 -73.39 2.71 1 0 0.253 2.4147541368010287e-15
31 40.89 98.75 0.53 56.26 1.6 1 0 0.250 -5.479791772593418e-16
37 1954.51 128.68 0.66 64.28 2.11 1 0 0.250 7.146007223796298e-16
48 1863.23 185.47 0.17 -64.02 6.26 1 0 0.248 4.805630414818959e-15
54 551.9 217.86 0.43 26.89 1.6 1 0 0.237 8.111501963888848e-16
69 985.87 267.36 0.31 -72.99 1.87 1 0 0.244 1.013640092814485e-15
83 780.13 300.67 0.27 67.8 1.69 1 0 0.244 -8.848190870313147e-16
119 1425.35 415.94 0.08 -12.88 4.11 1 0 0.248 2.417548286735784e-15
121 1943.09 417.03 0.16 8.09 2.88 1 0 0.245 2.6214568574689165e-15
133 1761.0 454.36 0.37 85.22 5.97 1 0 0.233 4.541751276145511e-15
141 1315.48 477.59 0.36 -57.21 2.52 1 0 0.246 1.7132759664776178e-15
160 1723.58 539.11 0.06 65.24 3.39 1 0 0.247 -1.679250229469939e-16
168 1284.72 557.78 0.46 -67.11 1.95 1 0 0.253 2.9263558959537585e-16
176 1964.75 588.05 0.35 -75.31 5.73 1 0 0.246 5.436655560963309e-15
180 75.11 597.86 0.22 49.0 1.6 1 0 0.247 9.383727451214678e-17
182 1623.97 601.7 0.58 41.64 2.39 1 0 0.243 3.266002608215136e-16
183 936.87 606.42 0.44 -45.26 2.03 1 0 0.250 1.1355291927155628e-15
206 1749.83 734.49 0.25 -89.61 1.78 1 0 0.251 -1.6180825392773576e-16
228 1654.92 812.59 0.37 3.5 8.1 1 0 0.248 1.071563593879523e-14
230 1569.44 819.41 0.55 -51.1 2.39 1 0 0.247 1.801359954983997e-16
265 1694.53 972.66 0.67 -52.42 1.78 1 0 0.245 6.872714160947066e-16
269 34.17 989.31 0.48 22.94 2.46 1 0 0.250 4.452723031191401e-16
275 964.22 1021.47 0.78 -89.06 3.48 1 0 0.251 1.7386432268193448e-15
277 1897.29 1021.08 0.03 82.78 5.84 1 0 0.252 3.034841122981011e-14
310 280.12 1152.26 0.5 -46.04 7.02 1 0 0.245 5.8859620702519846e-15
314 1868.53 1171.68 0.36 56.6 2.71 1 0 0.247 7.63700469474883e-16
331 1647.58 1248.64 0.03 -1.49 3.39 1 0 0.247 2.6279995517117455e-15
334 702.21 1277.15 0.51 21.84 1.87 1 0 0.253 1.2645471336589697e-15
335 1464.74 1281.04 0.04 1.92 3.78 1 0 0.248 2.1694428073643426e-15
342 1118.51 1336.24 0.55 21.74 1.6 1 0 0.239 -6.336076437214104e-16
382 670.87 1498.02 0.53 66.3 1.69 1 0 0.247 3.4628099194162847e-16
399 295.61 1590.94 0.5 40.65 7.18 1 0 0.247 3.2428486979041438e-15
444 1517.14 1749.24 0.53 54.37 1.6 1 0 0.245 -1.4903581764630857e-15
455 21.45 1799.03 0.34 22.41 5.94 1 0 0.245 1.582441033983232e-15
464 966.65 1852.16 0.49 34.41 1.6 1 0 0.245 8.75464666920075e-16
471 1372.49 1878.52 0.54 0.76 1.6 1 0 0.253 1.6260417373057919e-15
487 933.59 1946.41 0.32 27.72 3.04 1 0 0.225 2.0526814331677055e-15
494 263.24 1989.31 0.26 -44.77 7.48 1 0 0.245 5.047662032683876e-15
498 383.6 1991.63 0.68 -23.02 1.6 1 0 0.252 -3.8143455331857644e-17
563 734.03 172.18 0.37 39.4 3.19 1 0 0.250 7.075779722139444e-16
564 740.15 176.28 0.15 17.11 2.11 1 0 0.250 9.441431570746377e-17
597 405.1 1635.65 0.24 25.02 9.18 1 0 0.245 6.9162544072930154e-15
598 399.19 1642.91 0.64 24.13 3.74 1 0 0.2 1.226794451683372e-15
