NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius flag 0 0 0 quality_flag redshift
22 221.99 52.77 0.25 8.17 2.33 1 0 0 0 2 0 0.237
35 901.92 76.96 0.01 48.14 1.69 1 0 0 0 2 0 0.239
55 429.9 116.87 0.47 9.55 6.93 1 0 0 0 2 0 0.238
63 1428.1 118.57 0.19 -76.44 2.82 1 0 0 0 2 0 0.232
64 594.73 119.27 0.26 -66.22 2.71 2 0 0 0 2 0 0.229
72 851.46 138.96 0.15 84.89 9.41 1 0 0 0 1 0 0.233
113 481.37 200.18 0.4 -36.05 4.37 1 0 0 0 2 0 0.238
150 1480.38 262.13 0.64 25.7 1.6 1 0 0 0 0 0 0.246
154 849.95 272.6 0.35 31.79 2.11 1 0 0 0 1 0 0.238
183 1193.15 317.18 0.18 -47.46 1.6 2 0 0 0 1 0 0.247
186 1041.29 323.2 0.58 -22.78 1.78 1 0 0 0 0 0 0.239
194 1520.29 338.99 0.59 70.42 1.87 1 0 0 0 2 0 0.237
204 216.35 354.15 0.27 -20.67 1.69 2 0 0 0 1 0 0.235
211 929.38 361.24 0.3 -77.85 2.19 1 0 0 0 1 0 0.226
226 338.15 385.5 0.36 -77.0 1.78 2 0 0 0 1 0 0.252
247 323.42 413.32 0.28 -85.32 2.39 1 0 0 0 1 0 0.242
260 1926.37 437.37 0.19 -52.39 3.95 1 0 0 0 3 0 0.248
337 1244.29 562.65 0.43 70.64 1.6 1 0 0 0 1 0 0.248
352 1689.47 581.15 0.48 43.63 1.78 1 0 0 0 2 0 0.228
381 233.92 648.41 0.65 81.37 1.87 1 0 0 0 0 0 0.253
425 319.23 730.41 0.54 61.06 3.14 2 0 0 0 1 0 0.227
441 612.92 760.34 0.63 42.96 2.19 1 0 0 0 2 0 0.231
444 353.51 766.23 0.37 -76.11 3.7 1 0 0 0 2 0 0.252
445 967.77 765.68 0.34 -78.82 3.7 1 0 0 0 2 0 0.228
448 1667.23 768.78 0.64 -44.71 1.95 1 0 0 0 0 0 0.246
449 1116.94 771.96 0.06 60.92 3.66 1 0 0 0 3 0 0.236
462 334.18 794.63 0.19 44.44 3.04 1 0 0 0 3 0 0.241
487 282.93 826.39 0.27 44.14 3.39 1 0 0 0 1 0 0.227
501 682.04 848.31 0.34 52.68 1.69 1 0 0 0 2 0 0.221
