NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius flag 0 0 0 quality_flag redshift
26 1848.87 41.84 0.55 -84.13 1.6 2 0 0 0 0 0 0.253
43 1750.12 63.08 0.69 -49.36 1.78 1 0 0 0 1 0 0.233
55 714.73 79.25 0.42 -44.53 2.99 1 0 0 0 1 0 0.231
66 562.21 91.77 0.33 5.26 1.6 1 0 0 0 1 0 0.250
74 1996.63 101.41 0.7 -65.88 2.11 1 0 0 0 2 0 0.250
94 707.53 130.32 0.18 -85.08 3.39 1 0 0 0 1 0 0.251
113 1347.74 154.29 0.13 60.0 5.7 1 0 0 0 3 0 0.229
126 121.35 171.87 0.21 -78.6 2.19 1 0 0 0 2 0 0.227
144 747.02 199.99 0.28 -52.32 4.18 1 0 0 0 3 0 0.236
150 252.68 212.15 0.69 -56.85 5.23 1 0 0 0 3 0 0.229
152 768.06 212.41 0.22 63.11 6.0 1 0 0 0 3 0 0.236
171 577.73 233.78 0.32 -83.7 1.6 1 0 0 0 1 0 0.248
180 355.31 244.92 0.21 83.5 1.78 1 0 0 0 1 0 0.246
192 1808.45 272.45 0.52 6.12 5.01 1 0 0 0 2 0 0.239
199 1417.3 289.41 0.23 -57.65 3.04 1 0 0 0 3 0 0.235
209 1003.26 299.45 0.54 37.32 1.69 2 0 0 0 0 0 0.254
227 247.65 319.28 0.13 -11.94 2.39 1 0 0 0 3 0 0.238
250 1517.7 360.09 0.42 -29.33 4.03 1 0 0 0 0 0 0.251
289 1203.38 402.75 0.51 -41.46 2.65 1 0 0 0 3 0 0.250
290 691.57 409.7 0.75 86.57 4.41 1 0 0 0 2 0 0.237
293 767.09 410.65 0.31 29.78 7.46 1 0 0 0 3 0 0.236
301 1784.29 420.09 0.28 -53.15 2.33 1 0 0 0 1 0 0.238
323 720.78 471.75 0.03 -28.51 10.56 1 0 0 0 3 0 0.236
355 297.01 518.54 0.51 80.69 2.39 2 0 0 0 2 0 0.248
358 919.11 523.66 0.37 -75.98 3.43 1 0 0 0 2 0 0.238
379 585.31 556.96 0.31 -69.73 4.07 1 0 0 0 3 0 0.229
417 1070.91 610.98 0.25 -37.52 3.95 1 0 0 0 3 0 0.236
441 1374.36 647.05 0.36 -11.57 2.03 1 0 0 0 2 0 0.233
462 1272.81 681.91 0.13 -87.71 4.3 1 0 0 0 1 0 0.250
500 1970.07 728.64 0.38 -66.81 1.6 2 0 0 0 2 0 0.236
502 718.75 736.41 0.49 -87.14 1.6 1 0 0 0 0 0 0.233
508 1521.48 740.64 0.34 -58.4 1.95 2 0 0 0 2 0 0.250
522 1600.03 756.86 0.08 -25.19 2.71 1 0 0 0 3 0 0.236
545 1859.67 787.59 0.12 -52.87 1.95 2 0 0 0 0 0 0.251
577 218.81 841.74 0.11 -2.97 3.7 1 0 0 0 1 0 0.251
591 794.02 858.04 0.24 -89.82 2.11 1 0 0 0 2 0 0.228
596 569.03 862.31 0.2 63.21 1.95 2 0 0 0 2 0 0.227
651 908.04 963.19 0.26 -19.52 2.11 1 0 0 0 2 0 0.232
671 550.99 1006.76 0.34 -74.51 3.09 1 0 0 0 3 0 0.234
699 1510.11 1050.99 0.52 65.57 1.69 2 0 0 0 2 0 0.249
737 1079.98 1113.58 0.09 -30.29 3.99 1 0 0 0 2 0 0.238
786 1510.87 1192.13 0.47 -22.78 1.87 1 0 0 0 2 0 0.229
803 992.58 1230.43 0.38 2.06 4.69 1 0 0 0 3 0 0.236
816 1014.53 1249.34 0.52 32.37 1.69 1 0 0 0 1 0 0.237
826 903.61 1269.32 0.22 89.12 3.83 1 0 0 0 3 0 0.236
847 1239.19 1298.63 0.12 -82.98 1.69 1 0 0 0 2 0 0.241
852 444.59 1306.71 0.51 -57.83 2.03 1 0 0 0 2 0 0.242
876 679.88 1354.32 0.27 -72.33 1.87 1 0 0 0 2 0 0.226
881 776.67 1358.9 0.4 -43.9 2.39 2 0 0 0 2 0 0.250
882 1554.23 1362.05 0.36 -42.22 2.26 1 0 0 0 2 0 0.249
935 604.17 1466.72 0.2 -76.61 2.76 2 0 0 0 2 0 0.235
951 581.32 1497.77 0.15 -9.96 1.69 1 0 0 0 2 0 0.234
961 288.92 1516.52 0.45 10.97 3.57 1 0 0 0 3 0 0.242
969 1809.01 1539.17 0.53 -38.07 1.87 2 0 0 0 0 0 0.247
972 788.37 1546.8 0.34 -72.03 1.6 1 0 0 0 2 0 0.248
1027 805.71 1664.84 0.17 65.7 8.9 1 0 0 0 3 0 0.241
1039 1895.82 1681.64 0.47 -56.46 1.6 1 0 0 0 0 0 0.244
1054 105.25 1711.45 0.38 -25.49 6.84 1 0 0 0 2 0 0.236
1058 581.14 1709.09 0.64 31.26 1.69 2 0 0 0 0 0 0.244
1063 21.01 1722.61 0.5 -67.99 1.6 2 0 0 0 0 0 0.247
1064 1124.51 1725.47 0.27 5.18 2.76 1 0 0 0 3 0 0.237
1071 391.16 1741.87 0.19 46.33 1.6 1 0 0 0 3 0 0.253
1076 1110.16 1763.22 0.45 -69.55 6.28 1 0 0 0 2 0 0.238
1121 228.7 1817.21 0.24 -71.22 2.82 1 0 0 0 1 0 0.241
1160 1834.85 1875.72 0.18 72.43 2.88 2 0 0 0 2 0 0.243
1166 1475.56 1878.63 0.14 -14.28 1.87 2 0 0 0 2 0 0.229
1171 1462.97 1885.91 0.32 55.59 2.52 1 0 0 0 2 0 0.229
1210 849.47 1957.83 0.04 -18.34 2.11 1 0 0 0 2 0 0.226
1212 976.37 1961.28 0.39 -85.05 3.24 1 0 0 0 1 0 0.240
1219 812.81 1974.3 0.54 -55.81 1.6 1 0 0 0 0 0 0.253
1240 543.16 2030.78 0.4 23.81 4.98 1 0 0 0 2 0 0.246
1251 1357.5 2050.6 0.52 -22.74 1.78 2 0 0 0 0 0 0.252
1363 495.45 1850.28 0.32 -59.57 2.71 1 0 0 0 2 0 0.238
1364 501.23 1853.15 0.09 30.97 2.93 1 0 0 0 3 0 0.237
1365 513.76 1861.3 0.61 36.2 8.99 1 0 0 0 3 0 0.238
1366 500.68 1893.24 0.23 75.79 3.74 1 0 0 0  0 0.238
